trial	crit	F1	De
1	1	1	dl5
2	1	1	dl6
3	1	1	dl7
4	1	1	dl8
5	2	1	dl2
6	2	1	dl6
7	2	1	dl10
8	2	1	dl14
9	1	2	dl5
10	1	2	dl6
11	1	2	dl7
12	1	2	dl8
13	2	2	dr1
14	2	2	dl3
15	2	2	dr5
16	2	2	dl7
17	2	2	dr9
18	2	2	dl11
19	2	2	dr13
20	2	2	dl15
21	1	3	dl5
22	1	3	dl6
23	1	3	dl7
24	1	3	dl8
25	2	3	dr2
26	2	3	dl4
27	2	3	dr6
28	2	3	dl8
29	2	3	dr10
30	2	3	dl12
31	2	3	dr14
32	2	3	dl16
33	1	4	dl5
34	1	4	dl6
35	1	4	dl7
36	1	4	dl8
37	2	4	dr3
38	2	4	dr7
39	2	4	dr11
40	2	4	dr15
41	1	5	dr1
42	1	5	dr2
43	1	5	dr3
44	1	5	dr4
45	1	5	dl9
46	1	5	dl10
47	1	5	dl11
48	1	5	dl12
49	2	5	dl2
50	2	5	dl6
51	2	5	dl10
52	2	5	dl14
53	1	6	dr1
54	1	6	dr2
55	1	6	dr3
56	1	6	dr4
57	1	6	dl9
58	1	6	dl10
59	1	6	dl11
60	1	6	dl12
61	2	6	dr1
62	2	6	dl3
63	2	6	dr5
64	2	6	dl7
65	2	6	dr9
66	2	6	dl11
67	2	6	dr13
68	2	6	dl15
69	1	7	dr1
70	1	7	dr2
71	1	7	dr3
72	1	7	dr4
73	1	7	dl9
74	1	7	dl10
75	1	7	dl11
76	1	7	dl12
77	2	7	dr2
78	2	7	dl4
79	2	7	dr6
80	2	7	dl8
81	2	7	dr10
82	2	7	dl12
83	2	7	dr14
84	2	7	dl16
85	1	8	dr1
86	1	8	dr2
87	1	8	dr3
88	1	8	dr4
89	1	8	dl9
90	1	8	dl10
91	1	8	dl11
92	1	8	dl12
93	2	8	dr3
94	2	8	dr7
95	2	8	dr11
96	2	8	dr15
97	1	9	dr5
98	1	9	dr6
99	1	9	dr7
100	1	9	dr8
101	1	9	dl13
102	1	9	dl14
103	1	9	dl15
104	1	9	dl16
105	2	9	dl2
106	2	9	dl6
107	2	9	dl10
108	2	9	dl14
109	1	10	dr5
110	1	10	dr6
111	1	10	dr7
112	1	10	dr8
113	1	10	dl13
114	1	10	dl14
115	1	10	dl15
116	1	10	dl16
117	2	10	dr1
118	2	10	dl3
119	2	10	dr5
120	2	10	dl7
121	2	10	dr9
122	2	10	dl11
123	2	10	dr13
124	2	10	dl15
125	1	11	dr5
126	1	11	dr6
127	1	11	dr7
128	1	11	dr8
129	1	11	dl13
130	1	11	dl14
131	1	11	dl15
132	1	11	dl16
133	2	11	dr2
134	2	11	dl4
135	2	11	dr6
136	2	11	dl8
137	2	11	dr10
138	2	11	dl12
139	2	11	dr14
140	2	11	dl16
141	1	12	dr5
142	1	12	dr6
143	1	12	dr7
144	1	12	dr8
145	1	12	dl13
146	1	12	dl14
147	1	12	dl15
148	1	12	dl16
149	2	12	dr3
150	2	12	dr7
151	2	12	dr11
152	2	12	dr15
153	1	13	dr9
154	1	13	dr10
155	1	13	dr11
156	1	13	dr12
157	2	13	dl2
158	2	13	dl6
159	2	13	dl10
160	2	13	dl14
161	1	14	dr9
162	1	14	dr10
163	1	14	dr11
164	1	14	dr12
165	2	14	dr1
166	2	14	dl3
167	2	14	dr5
168	2	14	dl7
169	2	14	dr9
170	2	14	dl11
171	2	14	dr13
172	2	14	dl15
173	1	15	dr9
174	1	15	dr10
175	1	15	dr11
176	1	15	dr12
177	2	15	dr2
178	2	15	dl4
179	2	15	dr6
180	2	15	dl8
181	2	15	dr10
182	2	15	dl12
183	2	15	dr14
184	2	15	dl16
185	1	16	dr9
186	1	16	dr10
187	1	16	dr11
188	1	16	dr12
189	2	16	dr3
190	2	16	dr7
191	2	16	dr11
192	2	16	dr15
